Date,Time,Value,Chart Type
3/12/2019,0:03:20,95,Chart I
3/12/2019,0:03:20,53,Chart J
3/12/2019,0:03:20,748,Chart K
3/12/2019,0:03:20,1339,Chart L
3/12/2019,0:03:20,14,Chart M
3/12/2019,0:03:20,0,Chart N
3/12/2019,0:03:40,2.7,Chart A
3/12/2019,0:03:40,4.9,Chart C
3/12/2019,0:03:40,11,Chart H
3/12/2019,0:03:40,0,Chart D
3/12/2019,0:03:40,58,Chart B
3/12/2019,0:03:40,53,Chart F
3/12/2019,0:03:40,0,Chart G
3/12/2019,0:03:40,93,Chart I
3/12/2019,0:03:40,52,Chart J
3/12/2019,0:03:40,767,Chart K
3/12/2019,0:03:40,1372,Chart L
3/12/2019,0:03:40,16,Chart M
3/12/2019,0:03:40,0,Chart N
3/12/2019,0:04:00,2.8,Chart A
3/12/2019,0:04:00,5,Chart C
3/12/2019,0:04:00,11,Chart H
3/12/2019,0:04:00,0,Chart D
3/12/2019,0:04:00,59,Chart B
3/12/2019,0:04:00,53,Chart F
3/12/2019,0:04:00,0,Chart G
3/12/2019,0:04:00,94,Chart I
3/12/2019,0:04:00,53,Chart J
3/12/2019,0:04:00,767,Chart K
3/12/2019,0:04:00,1372,Chart L
3/12/2019,0:04:00,15,Chart M
3/12/2019,0:04:00,0,Chart N
3/12/2019,0:04:20,2.7,Chart A
3/12/2019,0:04:20,4.9,Chart C
3/12/2019,0:04:20,11,Chart H
3/12/2019,0:04:20,0,Chart D
3/12/2019,0:04:20,59,Chart B
3/12/2019,0:04:20,53,Chart F
3/12/2019,0:04:20,0,Chart G
3/12/2019,0:04:20,93,Chart I
3/12/2019,0:04:20,52,Chart J
3/12/2019,0:04:20,777,Chart K
3/12/2019,0:04:20,1391,Chart L
3/12/2019,0:04:20,15,Chart M
3/12/2019,0:04:20,0,Chart N
3/12/2019,0:04:40,2.7,Chart A
3/12/2019,0:04:40,4.8,Chart C
3/12/2019,0:04:40,11,Chart H
3/12/2019,0:04:40,0,Chart D
3/12/2019,0:04:40,59,Chart B
3/12/2019,0:04:40,53,Chart F
3/12/2019,0:04:40,0,Chart G
3/12/2019,0:04:40,91,Chart I
3/12/2019,0:04:40,51,Chart J
3/12/2019,0:04:40,791,Chart K
3/12/2019,0:04:40,1416,Chart L
3/12/2019,0:04:40,15,Chart M
3/12/2019,0:04:40,0,Chart N
3/12/2019,0:05:00,2.7,Chart A
3/12/2019,0:05:00,4.8,Chart C
3/12/2019,0:05:00,12,Chart H
3/12/2019,0:05:00,0,Chart D
3/12/2019,0:05:00,60,Chart B
3/12/2019,0:05:00,53,Chart F
3/12/2019,0:05:00,0,Chart G
3/12/2019,0:05:00,89,Chart I
3/12/2019,0:05:00,50,Chart J
3/12/2019,0:05:00,819,Chart K
3/12/2019,0:05:00,1465,Chart L
3/12/2019,0:05:00,12,Chart M
3/12/2019,0:05:00,0,Chart N
3/12/2019,0:05:20,2.7,Chart A
3/12/2019,0:05:20,4.8,Chart C
3/12/2019,0:05:20,11,Chart H
3/12/2019,0:05:20,0,Chart D
3/12/2019,0:05:20,60,Chart B
3/12/2019,0:05:20,53,Chart F
3/12/2019,0:05:20,0,Chart G
3/12/2019,0:05:20,90,Chart I
3/12/2019,0:05:20,50,Chart J
3/12/2019,0:05:20,813,Chart K
3/12/2019,0:05:20,1455,Chart L
3/12/2019,0:05:20,12,Chart M
3/12/2019,0:05:20,0,Chart N
3/12/2019,0:06:00,2.6,Chart A
3/12/2019,0:06:00,4.7,Chart C
3/12/2019,0:06:00,11,Chart H
3/12/2019,0:06:00,0,Chart D
3/12/2019,0:06:00,62,Chart B
3/12/2019,0:06:00,53,Chart F
3/12/2019,0:06:00,0,Chart G
3/12/2019,0:06:00,90,Chart I
3/12/2019,0:06:00,50,Chart J
3/12/2019,0:06:00,860,Chart K
3/12/2019,0:06:00,1540,Chart L
3/12/2019,0:06:00,14,Chart M
3/12/2019,0:06:00,0,Chart N
3/12/2019,0:06:20,2.6,Chart A
3/12/2019,0:06:20,4.7,Chart C
3/12/2019,0:06:20,11,Chart H
3/12/2019,0:06:20,0,Chart D
3/12/2019,0:06:20,63,Chart B
3/12/2019,0:06:20,53,Chart F
3/12/2019,0:06:20,0,Chart G
3/12/2019,0:06:20,90,Chart I
3/12/2019,0:06:20,50,Chart J
3/12/2019,0:06:20,874,Chart K
3/12/2019,0:06:20,1564,Chart L
3/12/2019,0:06:20,14,Chart M
3/12/2019,0:06:20,0,Chart N
3/12/2019,0:06:40,2.7,Chart A
3/12/2019,0:06:40,4.8,Chart C
3/12/2019,0:06:40,12,Chart H
3/12/2019,0:06:40,0,Chart D
3/12/2019,0:06:40,63,Chart B
3/12/2019,0:06:40,53,Chart F
3/12/2019,0:06:40,0,Chart G
3/12/2019,0:06:40,91,Chart I
3/12/2019,0:06:40,51,Chart J
3/12/2019,0:06:40,859,Chart K
3/12/2019,0:06:40,1537,Chart L
3/12/2019,0:06:40,14,Chart M
3/12/2019,0:06:40,0,Chart N
3/12/2019,0:07:00,2.7,Chart A
3/12/2019,0:07:00,4.8,Chart C
3/12/2019,0:07:00,12,Chart H
3/12/2019,0:07:00,0,Chart D
